2020-05-23 21:56:12,631 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:12,632 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:12,641 WARN  SnsAmbassador - Unit veh_40 is not known, skipping
2020-05-23 21:56:12,747 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:12,754 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:12,781 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:12,789 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:12,799 WARN  SnsAmbassador - Unit veh_40 is not known, skipping
2020-05-23 21:56:12,864 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:12,872 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:12,876 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:12,876 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:12,887 WARN  SnsAmbassador - Unit veh_40 is not known, skipping
2020-05-23 21:56:12,999 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:13,004 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:13,015 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:13,015 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:13,023 WARN  SnsAmbassador - Unit veh_40 is not known, skipping
2020-05-23 21:56:13,136 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:13,142 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:13,148 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:13,149 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:13,179 WARN  SnsAmbassador - Unit veh_40 is not known, skipping
2020-05-23 21:56:13,257 WARN  SnsAmbassador - Unit veh_50 is not known, skipping
2020-05-23 21:56:13,261 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:13,264 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:13,267 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:13,268 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:13,272 WARN  SnsAmbassador - Unit veh_40 is not known, skipping
2020-05-23 21:56:13,479 WARN  SnsAmbassador - Unit veh_50 is not known, skipping
2020-05-23 21:56:13,482 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:13,486 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:13,490 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:13,491 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:13,495 WARN  SnsAmbassador - Unit veh_40 is not known, skipping
2020-05-23 21:56:13,648 WARN  SnsAmbassador - Unit veh_50 is not known, skipping
2020-05-23 21:56:13,663 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
